"release_year","rating","title_count"
"2014","TV-PG","16"
"2014","TV-MA","10"
"2014","TV-14","7"
"2014","TV-Y","2"
"2014","R","1"
"2014","TV-G","1"
"2014","NR","1"
"2015","TV-MA","33"
"2015","TV-PG","20"
"2015","TV-14","15"
"2015","NR","2"
"2015","TV-G","2"
"2015","TV-Y","1"
"2015","PG","1"
"2015","","1"
"2015","TV-Y7","1"
"2015","PG-13","1"
"2016","TV-MA","52"
"2016","TV-PG","36"
"2016","TV-14","29"
"2016","TV-G","11"
"2016","TV-Y","4"
"2016","NR","4"
"2016","PG-13","2"
"2016","PG","2"
"2016","TV-Y7","1"
"2016","G","1"
"2016","R","1"
"2017","TV-MA","101"
"2017","TV-14","42"
"2017","TV-PG","34"
"2017","TV-G","11"
"2017","TV-Y7","5"
"2017","TV-Y","5"
"2017","PG","2"
"2017","","1"
"2017","PG-13","1"
"2017","R","1"
"2017","G","1"
"2018","TV-MA","108"
"2018","TV-14","42"
"2018","TV-PG","34"
"2018","TV-G","6"
"2018","TV-Y","4"
"2018","TV-Y7","4"
"2018","TV-Y7-FV","1"
"2018","PG-13","1"
"2018","R","1"
"2019","TV-MA","106"
"2019","TV-14","34"
"2019","TV-PG","20"
"2019","TV-Y","9"
"2019","TV-Y7","3"
"2019","PG","2"
"2019","TV-G","2"
"2020","TV-MA","85"
"2020","TV-14","34"
"2020","TV-PG","25"
"2020","TV-G","13"
"2020","TV-Y","7"
"2020","PG-13","2"
"2020","TV-Y7","2"
"2020","R","1"
"2020","G","1"
"2020","PG","1"
"2021","TV-MA","6"
"2021","TV-14","3"
"2021","TV-G","2"
